2000,0,2,2
P00094,B019,1,1
P00279,B001,2,2
P00279,B002,2,1
P00166,B001,2,1
P00166,B002,1,1
P00004,B049,1,2
P00005,B070,1,2
P00005,B071,2,2
P00001,B089,2,1
P00167,B001,1,1
P00001,B090,2,2
P00169,B001,3,2
P00001,B091,2,1
P00169,B002,3,1
P00169,B003,3,1
P00005,B072,2,1
P00181,B009,2,1
P00181,B010,2,1
P00181,B013,2,1
P00182,B002,2,1
P00182,B003,2,1
P00016,B081,2,1
P00188,B001,2,1
P00016,B085,3,1
P00188,B002,2,1
P00188,B003,2,2
P00188,B004,2,1
P00016,B088,2,1
P00016,B089,3,1
P00016,B091,1,1
P00016,B092,1,1
P00004,B035,1,1
P00005,B001,1,1
P00094,B017,2,1
P00005,B003,1,1
P00280,B001,2,2
P00280,B002,2,2
P00001,B205,2,2
P00005,B017,2,1
P00001,B088,1,1
P00005,B018,2,1
P00005,B020,1,1
P00005,B030,2,1
P00004,B045,1,2
P00005,B050,2,1
P00005,B051,3,2
P00019,B041,2,4
P00211,B009,2,4
P00211,B009,2,4
P00262,B002,2,4
P00262,B002,2,4
P00007,B005,3,0
P00046,B054,2,3
P00007,B013,3,0
P00046,B054,2,3
P00007,B014,3,0
P00007,B016,3,0
P00007,B030,3,0
P00007,B031,3,0
P00007,B039,3,0
P00007,B040,3,0
P00007,B041,3,0
P00007,B042,3,0
P00007,B043,3,0
P00007,B051,3,0
P00007,B056,3,0
P00046,B060,2,3
P00046,B060,2,3
P00007,B062,3,0
P00046,B061,2,3
P00046,B061,2,3
P00046,B062,2,2
P00046,B062,2,2
P00008,B008,3,0
P00001,B206,3,5
P00009,B016,3,0
P00009,B017,3,0
P00009,B018,3,0
P00009,B019,3,0
P00009,B020,3,0
P00009,B021,3,0
P00009,B022,3,0
P00009,B023,3,0
P00001,B138,1,1
P00001,B136,1,1
P00001,B137,1,1
P00001,B131,1,1
P00001,B159,1,1
P00001,B160,1,1
P00001,B130,1,1
P00001,B132,1,1
P00001,B134,1,1
P00001,B135,1,1
P00195,B019,2,1
P00195,B019,2,1
P00223,B007,2,1
P00223,B007,2,1
P00225,B011,2,1
P00225,B011,2,1
P00225,B012,2,1
P00225,B012,2,1
P00225,B013,2,1
P00225,B013,2,1
P00196,B013,2,1
P00196,B013,2,1
P00196,B014,2,1
P00196,B014,2,1
P00105,B021,2,1
P00105,B021,2,1
P00219,B003,2,1
P00001,B213,2,3
P00001,B213,2,3
P00001,B214,2,3
P00001,B214,2,3
P00046,B063,2,3
P00046,B063,2,3
P00009,B025,3,0
P00005,B075,1,2
P00005,B075,1,2
P00005,B076,1,1
P00005,B076,1,1
P00191,B045,2,2
P00191,B045,2,2
P00191,B046,2,2
P00191,B046,2,2
P00191,B047,2,1
P00191,B047,2,1
P00288,B004,2,1
P00288,B004,2,1
P00094,B020,1,2
P00094,B020,1,2
P00094,B021,1,1
P00094,B021,1,1
P00289,B001,1,1
P00025,B038,3,1
P00289,B001,1,1
P00028,B029,2,1
